Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Banc of california inc,BANC,"",312753.0,5486000.0,0.0068,0.0104,1579,-150800.0,-32.531339,reduction,0.6233284,Q2 2019,FINANCE,13F,06/30/2021,14.54,18.05
Brookfield business partners lp units,BBU,"",118500.0,5474000.0,0.0068,0.0054,1580,11300.0,10.541045,addition,0.1506314,Q4 2016,CONSUMER DISCRETIONARY,13F,06/30/2021,36.7775,41.16
Urban edge properties,UE,"",286400.0,5470000.0,0.0068,0.0051,1581,39000.0,15.763945,addition,0.2447313,Q3 2018,REAL ESTATE,13F,06/30/2021,16.8713,18.91
Atricure inc,ATRC,"",68600.0,5442000.0,0.0068,,1582,68600.0,,new,0.1503415,Q3 2017,HEALTH CARE,13F,06/30/2021,79.33,73.24
Rogers corp.,ROG,"",27100.0,5442000.0,0.0068,0.005,1583,5926.0,27.987154,addition,0.1448257,Q3 2019,INFORMATION TECHNOLOGY,13F,06/30/2021,146.6852,201.32
Celestica inc,CLS,"",694188.0,5441000.0,0.0068,0.0076,1584,-37200.0,-5.08622,reduction,0.6334570,Q4 2019,INFORMATION TECHNOLOGY,13F,06/30/2021,7.69,8.73
Trinity biotech plc adr,TRIB,"",1850082.0,5439000.0,0.0068,0.0086,1585,5119.0,0.277458,addition,8.8513457,Q1 2006,HEALTH CARE,13F,06/30/2021,3.7976,2.19
Benchmark electronics  inc.,BHE,"",190300.0,5416000.0,0.0068,0.0114,1586,-107300.0,-36.055108,reduction,0.5313209,Q1 2013,INFORMATION TECHNOLOGY,13F,06/30/2021,26.81,25.89
Rite aid corp.,RAD,"",331990.0,5411000.0,0.0068,0.0432,1587,-1364795.0,-80.434174,reduction,0.6025045,Q2 2020,CONSUMER STAPLES,13F,06/30/2021,19.82,15.19
California resources corp.,CRC,"",179382.0,5407000.0,0.0067,,1588,179382.0,,new,0.2152937,Q2 2021,ENERGY,13F,06/30/2021,30.14,29.77
Pbf energy inc,PBF,"",353300.0,5405000.0,0.0067,0.0231,1589,-960300.0,-73.104446,reduction,0.2939733,Q1 2021,ENERGY,13F,06/30/2021,14.15,8.85
Capital city bank group  inc.,CCBG,"",209371.0,5400000.0,0.0067,0.0077,1590,-27500.0,-11.609695,reduction,1.2424194,Q2 2010,FINANCE,13F,06/30/2021,21.21,23.87
Global x funds global x nasdaq 100 cover,QYLD,"",240500.0,5394000.0,0.0067,0.0059,1591,31100.0,14.851958,addition,No Data,Q3 2020,FINANCE,13F,06/30/2021,22.3081,22.73
Spdr materials select sector etf,XLB,"",65500.0,5391000.0,0.0067,0.008,1592,-15900.0,-19.53317,reduction,No Data,Q2 2019,FINANCE,13F,06/30/2021,78.8,86.45
Healthcare trust of america inc,HTA,"",201272.0,5374000.0,0.0067,0.0168,1593,-289500.0,-58.988695,reduction,0.0919779,Q3 2014,REAL ESTATE,13F,06/30/2021,26.83,29.4
Littelfuse inc.,LFUS,"",21034.0,5359000.0,0.0067,,1594,21034.0,,new,0.0856600,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,254.79,278.57
Apyx medical inc,APYX,"",518995.0,5351000.0,0.0067,0.0062,1595,5200.0,1.012077,addition,1.5123174,Q1 2019,HEALTH CARE,13F,06/30/2021,6.2907,10.91
Black hills corp.,BKH,"",81192.0,5329000.0,0.0067,0.0135,1596,-80900.0,-49.909928,reduction,0.1291391,Q2 2014,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,69.56,72.05
Infosys ltd adr,INFY,"",251040.0,5320000.0,0.0066,,1597,251040.0,,new,0.0058931,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2021,21.19,23.63
Neoleukin therapeutics ord shs,NLTX,"",575992.0,5316000.0,0.0066,0.0095,1598,-41945.0,-6.787909,reduction,N/A,Q3 2019, ,13F,06/30/2021,,
Acuity brands inc (holding company),AYI,"",28396.0,5311000.0,0.0066,0.0624,1599,-275520.0,-90.656629,reduction,0.0795285,Q4 2018,INDUSTRIALS,13F,06/30/2021,126.13,182.03
Exfo inc,EXFO,"",892115.0,5308000.0,0.0066,0.0055,1600,-153083.0,-14.646316,reduction,3.4550989,Q4 2005,INFORMATION TECHNOLOGY,13F,06/30/2021,5.54,6.23
Ke holdings inc.,BEKE,"",111200.0,5302000.0,0.0066,,1601,111200.0,,new,0.0124135,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,47.68,17.8
Paysign ord shs,PAYS,"",1662758.0,5288000.0,0.0066,0.0084,1602,114800.0,7.416222,addition,N/A,Q2 2019, ,13F,06/30/2021,,
Inseego corp,INSG,"",519505.0,5242000.0,0.0065,0.0077,1603,-98900.0,-15.992756,reduction,0.5042424,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,10.0,8.62
Timken steel corp,TMST,"",370446.0,5242000.0,0.0065,0.0085,1604,-211700.0,-36.365448,reduction,0.8105591,Q2 2019,MATERIALS,13F,06/30/2021,4.31,16.72
Turtle beach corporation,HEAR,"",164000.0,5235000.0,0.0065,0.0081,1605,-79300.0,-32.593506,reduction,1.0366249,Q2 2020,INFORMATION TECHNOLOGY,13F,06/30/2021,16.44,27.06
Reliance steel & aluminum co.,RS,"",34612.0,5223000.0,0.0065,,1606,34612.0,,new,0.0542880,Q2 2018,MATERIALS,13F,06/30/2021,150.9,157.14
Reading international inc. class a,RDI,"",748590.0,5218000.0,0.0065,0.0053,1607,-20500.0,-2.665488,reduction,3.7189972,Q4 2010,CONSUMER DISCRETIONARY,13F,06/30/2021,10.6,5.15
German american bancorp inc,GABC,"",139649.0,5195000.0,0.0065,0.0098,1608,-31551.0,-18.429322,reduction,0.5260701,Q1 2012,FINANCE,13F,06/30/2021,28.95,38.65
News inc. class a,NWSA,"",201300.0,5188000.0,0.0065,0.0249,1609,-587000.0,-74.464037,reduction,0.0514595,Q4 2020,COMMUNICATIONS,13F,06/30/2021,17.97,23.52
Lsb industries inc,LXU,"",857227.0,5186000.0,0.0065,0.0065,1610,-155919.0,-15.389588,reduction,2.8538324,Q3 2018,MATERIALS,13F,06/30/2021,4.05,9.21
Orrstown financial services inc,ORRF,"",224599.0,5181000.0,0.0065,0.0072,1611,-33900.0,-13.114171,reduction,1.9944043,Q3 2011,FINANCE,13F,06/30/2021,20.12,23.43
Myovant sciences ltd,MYOV,"",226996.0,5169000.0,0.0065,,1612,226996.0,,new,0.2481365,Q1 2020,HEALTH CARE,13F,06/30/2021,22.77,21.52
Durect corp,DRRX,"",3168730.0,5165000.0,0.0064,0.0096,1613,-733166.0,-18.789993,reduction,1.3934230,Q2 2017,HEALTH CARE,13F,06/30/2021,1.78,1.3
Madrigal pharmaceuticals inc,MDGL,"",52982.0,5161000.0,0.0064,0.005,1614,18700.0,54.547576,addition,0.3194646,Q1 2020,HEALTH CARE,13F,06/30/2021,100.1988,84.86
Makemytrip ltd,MMYT,"",171735.0,5161000.0,0.0064,0.0102,1615,-86800.0,-33.573791,reduction,0.2700792,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2021,17.29,27.0
Azek company inc.,AZEK,"",121400.0,5155000.0,0.0064,,1616,121400.0,,new,0.0784546,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,42.46,41.16
Vaneck vect junior gold miners etf,GDXJ,"",110100.0,5147000.0,0.0064,0.0073,1617,-19400.0,-14.980695,reduction,No Data,Q4 2019,FINANCE,13F,06/30/2021,46.49,42.85
Penns woods bancorp inc,PWOD,"",215969.0,5144000.0,0.0064,0.0058,1618,21700.0,11.170079,addition,3.0604763,Q2 2012,FINANCE,13F,06/30/2021,20.7436,23.83
Werner enterprises  inc.,WERN,"",115463.0,5140000.0,0.0064,,1619,115463.0,,new,0.1700032,Q4 2017,TRANSPORTS,13F,06/30/2021,44.52,46.15
Nexstar media group inc,NXST,"",34705.0,5132000.0,0.0064,0.0044,1620,9800.0,39.349528,addition,0.0811921,Q1 2021,COMMUNICATIONS,13F,06/30/2021,142.5337,145.72
Firstenergy corp.,FE,"",137708.0,5124000.0,0.0064,0.0139,1621,-183500.0,-57.128091,reduction,0.0253137,Q1 2014,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,30.61,38.64
Cvb financial corp.,CVBF,"",248794.0,5123000.0,0.0064,0.0143,1622,-270787.0,-52.116417,reduction,0.1830458,Q4 2018,FINANCE,13F,06/30/2021,20.84,20.25
Ishares core 1-5 year usd bond etf,ISTB,"",99700.0,5114000.0,0.0064,0.0065,1623,-1408.0,-1.39257,reduction,No Data,Q1 2019,FINANCE,13F,06/30/2021,51.35,51.23
Markel corp. (holding co.),MKL,"",4301.0,5104000.0,0.0064,0.0373,1624,-22040.0,-83.671842,reduction,0.0312615,Q4 2011,FINANCE,13F,06/30/2021,910.4,1275.69
B. riley financial inc,RILY,"",67339.0,5084000.0,0.0063,0.0026,1625,30500.0,82.792693,addition,0.2476162,Q3 2019,FINANCE,13F,06/30/2021,51.254,65.63
Hurco companies inc.,HURC,"",145182.0,5081000.0,0.0063,0.0063,1626,2500.0,1.752148,addition,2.1992588,Q4 2010,INDUSTRIALS,13F,06/30/2021,36.7985,34.18
Reynolds consumer products inc.,REYN,"",167400.0,5081000.0,0.0063,0.0088,1627,-70828.0,-29.731182,reduction,0.0798060,Q2 2020,CONSUMER STAPLES,13F,06/30/2021,32.69,29.67
Gohealth  inc.,GOCO,"",453100.0,5079000.0,0.0063,,1628,453100.0,,new,0.4531349,Q2 2021,FINANCE,13F,06/30/2021,11.21,4.07
One gas  inc.,OGS,"",68500.0,5077000.0,0.0063,0.0031,1629,35900.0,110.122699,addition,0.1286502,Q1 2020,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,75.4478,73.21
Steel connect inc,STCN,"",2537400.0,5075000.0,0.0063,0.0065,1630,-102444.0,-3.880684,reduction,4.0214659,Q2 2011,INFORMATION TECHNOLOGY,13F,06/30/2021,2.23,1.78
Siriuspoint ltd,SPNT,"",502290.0,5058000.0,0.0063,0.0079,1631,-120590.0,-19.360069,reduction,0.3108421,Q4 2014,FINANCE,13F,06/30/2021,10.69,9.89
Select energy services inc,WTTR,"",835974.0,5049000.0,0.0063,0.0079,1632,-438575.0,-34.410211,reduction,0.9515192,Q3 2019,ENERGY,13F,06/30/2021,6.89,5.36
Beacon roofing supply inc,BECN,"",94757.0,5046000.0,0.0063,0.01,1633,-58500.0,-38.171177,reduction,0.1356316,Q3 2020,INDUSTRIALS,13F,06/30/2021,36.72,50.29
Global water resources inc,GWRS,"",295247.0,5043000.0,0.0063,0.0058,1634,8700.0,3.036151,addition,1.3070969,Q2 2017,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,10.2863,20.43
Strattec security corp,STRT,"",113406.0,5042000.0,0.0063,0.0071,1635,-8100.0,-6.666337,reduction,2.9178596,Q4 2006,CONSUMER DISCRETIONARY,13F,06/30/2021,40.64,42.73
Xeris pharmaceuticals inc,XERS,"",1236595.0,5033000.0,0.0063,0.0059,1636,178932.0,16.917676,addition,1.8633899,Q1 2020,HEALTH CARE,13F,06/30/2021,4.3266,2.32
Whitestone reit,WSR,"",609434.0,5028000.0,0.0063,0.0053,1637,170950.0,38.986599,addition,1.4246537,Q4 2013,REAL ESTATE,13F,06/30/2021,10.6891,9.42
Travelcenters of america llc,TA,"",171839.0,5025000.0,0.0063,0.0104,1638,-135300.0,-44.051716,reduction,1.1800622,Q4 2007,CONSUMER DISCRETIONARY,13F,06/30/2021,170.77,37.98
Navigator holdings ltd,NVGS,"",458700.0,5023000.0,0.0063,0.0059,1639,-76200.0,-14.245653,reduction,0.8206661,Q1 2018,INDUSTRIALS,13F,06/30/2021,8.74,9.25
Opko health inc,OPK,"",1239943.0,5022000.0,0.0063,,1640,1239943.0,,new,0.1850229,Q4 2020,HEALTH CARE,13F,06/30/2021,4.05,3.68
Quanterix corp,QTRX,"",85600.0,5021000.0,0.0063,0.0089,1641,-36700.0,-30.008177,reduction,0.2355752,Q4 2020,HEALTH CARE,13F,06/30/2021,57.53,49.25
Rattler midstream lp,RTLR,"",459067.0,5013000.0,0.0063,0.002,1642,306594.0,201.080847,addition,1.1264732,Q1 2020,ENERGY,13F,06/30/2021,10.8237,10.6
Southern missouri bancorp inc,SMBC,"",110834.0,4983000.0,0.0062,0.0059,1643,-9357.0,-7.785109,reduction,1.2405708,Q2 2016,FINANCE,13F,06/30/2021,31.81,45.2
Amphastar pharmaceuticals inc,AMPH,"",247100.0,4982000.0,0.0062,0.0051,1644,21500.0,9.530142,addition,0.5187324,Q4 2017,HEALTH CARE,13F,06/30/2021,19.7857,19.6
Schwab intermediate-term us treasury etf,SCHR,"",87589.0,4981000.0,0.0062,0.0101,1645,-56311.0,-39.132036,reduction,No Data,Q1 2020,FINANCE,13F,06/30/2021,57.86,57.25
Mogo finance technology inc,MOGO,"",631522.0,4955000.0,0.0062,0.0111,1646,-416370.0,-39.734057,reduction,0.9708616,Q2 2020,FINANCE,13F,06/30/2021,3.9,6.06
Transact technologies inc,TACT,"",360637.0,4952000.0,0.0062,0.0053,1647,-28100.0,-7.228538,reduction,4.0224790,Q4 2006,INFORMATION TECHNOLOGY,13F,06/30/2021,8.35,14.18
Cinemark holdings inc,CNK,"",224100.0,4919000.0,0.0061,0.0407,1648,-1377600.0,-86.008616,reduction,0.1874670,Q3 2018,COMMUNICATIONS,13F,06/30/2021,23.66,14.47
Dicerna pharmaceuticals inc,DRNA,"",131200.0,4896000.0,0.0061,0.0047,1649,-16445.0,-11.138203,reduction,0.1706109,Q3 2019,HEALTH CARE,13F,06/30/2021,19.16,20.58
Douglas emmett inc,DEI,"",145600.0,4895000.0,0.0061,0.0061,1650,-9800.0,-6.306306,reduction,0.0829768,Q3 2014,REAL ESTATE,13F,06/30/2021,38.48,32.1
Farmers national banc corp.,FMNB,"",313684.0,4865000.0,0.0061,0.007,1651,-24300.0,-7.189689,reduction,1.1080954,Q4 2014,FINANCE,13F,06/30/2021,12.57,15.86
Homestreet inc,HMST,"",119000.0,4848000.0,0.0061,0.01,1652,-64012.0,-34.976941,reduction,0.5572457,Q1 2019,FINANCE,13F,06/30/2021,27.45,41.04
Spdr bloomberg barclays convertible securities etf,CWB,"",55700.0,4831000.0,0.006,0.0065,1653,-7066.0,-11.257687,reduction,No Data,Q1 2018,FINANCE,13F,06/30/2021,83.35,85.64
Bsquare corp,BSQR,"",1012682.0,4830000.0,0.006,0.0043,1654,851.0,0.084105,addition,7.5533662,Q3 2005,INFORMATION TECHNOLOGY,13F,06/30/2021,4.6701,2.62
Imedia brands inc,IMBI,"",599758.0,4828000.0,0.006,0.005,1655,82500.0,15.949487,addition,3.6605425,Q3 2013,CONSUMER DISCRETIONARY,13F,06/30/2021,612.4425,7.2
Wolverine world wide  inc.,WWW,"",143500.0,4827000.0,0.006,,1656,143500.0,,new,0.1732520,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,33.64,37.16
Woodward inc,WWD,"",39263.0,4825000.0,0.006,,1657,39263.0,,new,0.0618067,Q2 2021,INDUSTRIALS,13F,06/30/2021,122.88,116.75
Invesco bulletshares 2021 corporate bd e,BSCL,"",228594.0,4823000.0,0.006,0.001,1658,192096.0,526.31925,addition,No Data,Q1 2019,FINANCE,13F,06/30/2021,21.1096,21.09
Ishares core u.s. aggregate bond etf,AGG,"",41800.0,4821000.0,0.006,,1659,41800.0,,new,No Data,Q1 2020,FINANCE,13F,06/30/2021,115.33,115.97
Ortho clinical diagnostics holdings plc,OCDX,"",224300.0,4802000.0,0.006,,1660,224300.0,,new,0.0954813,Q2 2021, ,13F,06/30/2021,21.41,19.61
Xencor inc,XNCR,"",139100.0,4798000.0,0.006,0.0039,1661,66800.0,92.392808,addition,0.2389024,Q4 2020,HEALTH CARE,13F,06/30/2021,38.9756,32.24
Ontrak inc. (hythiam - catasys),OTRK,"",147000.0,4775000.0,0.006,,1662,147000.0,,new,0.8287939,Q2 2021,HEALTH CARE,13F,06/30/2021,32.48,24.01
Ishares russell 2000 growth etf-ishares russell 2000 growth etf,IWO,"",15300.0,4769000.0,0.006,0.0067,1663,-2700.0,-15.0,reduction,No Data,Q2 2020,FINANCE,13F,06/30/2021,300.74,297.24
The gorman-rupp company,GRC,"",138300.0,4763000.0,0.0059,0.0075,1664,-43500.0,-23.927393,reduction,0.5295576,Q1 2016,INDUSTRIALS,13F,06/30/2021,33.21,35.12
Dlh holding corp.,DLHC,"",406468.0,4748000.0,0.0059,0.0055,1665,-38596.0,-8.672011,reduction,3.2401040,Q4 2008,INDUSTRIALS,13F,06/30/2021,5.94,11.1
Resources connection inc,RGP,"",330543.0,4747000.0,0.0059,0.0046,1666,58642.0,21.567409,addition,1.0070462,Q3 2014,INDUSTRIALS,13F,06/30/2021,14.2202,15.49
Cousins properties  inc.,CUZ,"",129031.0,4746000.0,0.0059,,1667,129031.0,,new,0.0868000,Q2 2021,REAL ESTATE,13F,06/30/2021,36.78,39.36
Rf industries ltd,RFIL,"",636051.0,4745000.0,0.0059,0.0051,1668,-41200.0,-6.083417,reduction,6.3598384,Q4 2010,INFORMATION TECHNOLOGY,13F,06/30/2021,6.6,8.38
Micro focus international plc,MFGP,"",629065.0,4737000.0,0.0059,0.0104,1669,-463300.0,-42.412564,reduction,0.1874737,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2021,5.58,5.73
Hawaiian electric industries,HE,"",111600.0,4718000.0,0.0059,,1670,111600.0,,new,0.1022151,Q1 2014,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,42.28,44.72
Upland software inc,UPLD,"",114517.0,4715000.0,0.0059,0.0057,1671,17300.0,17.795242,addition,0.3804524,Q4 2020,INFORMATION TECHNOLOGY,13F,06/30/2021,45.7882,38.15
Goldman sachs access treasury 0-1 year e,GBIL,"",47000.0,4705000.0,0.0059,0.0177,1672,-95200.0,-66.947961,reduction,No Data,Q1 2020,FINANCE,13F,06/30/2021,100.41,100.1
Douglas dynamics inc,PLOW,"",115600.0,4704000.0,0.0059,0.0024,1673,73000.0,171.361502,addition,0.5035836,Q1 2021,INDUSTRIALS,13F,06/30/2021,42.7021,38.84
Fubotv inc,FUBO,"",146355.0,4699000.0,0.0059,,1674,146355.0,,new,0.1041926,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,32.11,28.83
Genie energy ltd,GNE,"",743285.0,4698000.0,0.0059,0.0059,1675,-100.0,-0.013452,reduction,3.0166593,Q4 2011,ENERGY,13F,06/30/2021,7.57,6.17
Kt corp adr,KT,"",335949.0,4686000.0,0.0058,0.0084,1676,-209451.0,-38.40319,reduction,0.0643305,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,11.5,14.6
Loews corp,L,"",85700.0,4684000.0,0.0058,,1677,85700.0,,new,0.0325638,Q2 2021,FINANCE,13F,06/30/2021,54.65,55.64
First community bancshares  inc (wv),FCBC,"",156394.0,4668000.0,0.0058,0.0068,1678,-25900.0,-14.207818,reduction,0.8917412,Q4 2011,FINANCE,13F,06/30/2021,21.75,31.93
Vishay intertechnology  inc.,VSH,"",206625.0,4659000.0,0.0058,0.0017,1679,149400.0,261.074705,addition,0.1556958,Q3 2017,INFORMATION TECHNOLOGY,13F,06/30/2021,21.3757,22.66
Piedmont lithium ltd,PLL,"",59600.0,4658000.0,0.0058,,1680,59600.0,,new,0.4266285,Q2 2021,MATERIALS,13F,06/30/2021,78.16,64.14
Knight transportation inc.,KNX,"",102327.0,4652000.0,0.0058,,1681,102327.0,,new,0.0618250,Q2 2020,TRANSPORTS,13F,06/30/2021,45.46,50.52
Iridex corp.,IRIX,"",657560.0,4642000.0,0.0058,0.0054,1682,15600.0,2.430058,addition,4.2081685,Q3 2007,HEALTH CARE,13F,06/30/2021,4.961,7.98
Ocular therapeutix inc,OCUL,"",327122.0,4639000.0,0.0058,0.001,1683,277222.0,555.55511,addition,0.4287759,Q4 2020,HEALTH CARE,13F,06/30/2021,15.1746,10.76
Daseke inc,DSKE,"",714005.0,4627000.0,0.0058,0.0093,1684,-168850.0,-19.125451,reduction,1.0952060,Q4 2018,TRANSPORTS,13F,06/30/2021,4.31,9.41
Advanced drainage systems inc,WMS,"",39600.0,4616000.0,0.0058,0.0346,1685,-229337.0,-85.275362,reduction,0.0549052,Q4 2018,INDUSTRIALS,13F,06/30/2021,37.9,115.96
Four corners property trust inc,FCPT,"",167200.0,4616000.0,0.0058,0.0015,1686,123300.0,280.865604,addition,N/A,Q1 2021,REAL ESTATE,13F,06/30/2021,27.5549,27.38
Cts corp.,CTS,"",124200.0,4615000.0,0.0058,0.0092,1687,-114500.0,-47.968161,reduction,0.3839453,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2021,25.36,35.73
Elevate credit inc,ELVT,"",1288055.0,4598000.0,0.0057,0.0052,1688,-131800.0,-9.282638,reduction,3.6026810,Q2 2018,FINANCE,13F,06/30/2021,4.92,3.69
United community banks inc,UCBI,"",143537.0,4595000.0,0.0057,0.0037,1689,57280.0,66.406205,addition,0.1654060,Q4 2012,FINANCE,13F,06/30/2021,30.5377,31.08
Nomura holdings inc. ads adr,NMR,"",902490.0,4594000.0,0.0057,0.012,1690,-889600.0,-49.640364,reduction,0.0279101,Q1 2019,FINANCE,13F,06/30/2021,4.18,5.01
Cap sr living corp,CSU,"",92191.0,4563000.0,0.0057,0.0047,1691,-6556.0,-6.639189,reduction,4.2243427,Q2 2006,HEALTH CARE,13F,06/30/2021,-66.79,29.64
New residential investment corp.,NRZ,"",429117.0,4544000.0,0.0057,0.0041,1692,134455.0,45.630248,addition,0.0919575,Q1 2021,REAL ESTATE,13F,06/30/2021,11.0432,9.96
Ishares msci hong kong etf,EWH,"",169900.0,4540000.0,0.0057,0.0012,1693,133100.0,361.684783,addition,No Data,Q2 2020,FINANCE,13F,06/30/2021,26.5251,26.0
Vanguard short-term corporate bond etf,VCSH,"",54863.0,4538000.0,0.0057,,1694,54863.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,82.71,82.59
Danaos corp,DAC,"",59100.0,4538000.0,0.0057,0.0064,1695,-44000.0,-42.677013,reduction,0.2869066,Q4 2020,TRANSPORTS,13F,06/30/2021,38.02,71.07
Quad graphics inc,QUAD,"",1092019.0,4532000.0,0.0057,0.0046,1696,49103.0,4.708241,addition,2.6554591,Q1 2012,INDUSTRIALS,13F,06/30/2021,7.3589,4.87
Invesco bulletshares 2022 corporate bd e,BSCM,"",209712.0,4528000.0,0.0057,0.0007,1697,185452.0,764.435284,addition,No Data,Q1 2019,FINANCE,13F,06/30/2021,21.6108,21.58
Data i/o corp.,DAIO,"",662643.0,4513000.0,0.0056,0.0044,1698,10600.0,1.62566,addition,7.8634600,Q1 2007,INFORMATION TECHNOLOGY,13F,06/30/2021,5.4422,5.68
Castor maritime inc,CTRM,"",1731245.0,4510000.0,0.0056,0.0064,1699,-5068122.0,-74.538145,reduction,1.9245497,Q3 2019,TRANSPORTS,13F,06/30/2021,0.73,2.14
Frontline ltd. (bermuda) sponsored adr,FRO,"",500854.0,4508000.0,0.0056,0.0006,1700,437554.0,691.238547,addition,0.2533503,Q1 2021,ENERGY,13F,06/30/2021,8.7662,7.4
Educational development corp,EDUC,"",363226.0,4508000.0,0.0056,0.0077,1701,-1500.0,-0.411268,reduction,4.3495057,Q1 2018,COMMUNICATIONS,13F,06/30/2021,11.0,10.37
Zogenix inc,ZGNX,"",258787.0,4472000.0,0.0056,,1702,258787.0,,new,0.4636714,Q4 2020,HEALTH CARE,13F,06/30/2021,17.28,13.75
Spdr bloomberg barclays 1-3 month t-bill et,BIL,"",48769.0,4461000.0,0.0056,,1703,48769.0,,new,No Data,Q4 2017,FINANCE,13F,06/30/2021,91.47,91.47
Echo global logistics inc,ECHO,"",144700.0,4448000.0,0.0056,0.01,1704,-111100.0,-43.432369,reduction,N/A,Q2 2017,INFORMATION TECHNOLOGY,13F,06/30/2021,24.06,31.94
Ballantyne strong inc,BTN,"",926812.0,4439000.0,0.0055,0.0032,1705,-61635.0,-6.235539,reduction,5.0641192,Q2 2006,INDUSTRIALS,13F,06/30/2021,3.65,3.65
Communications systems inc.,JCS,"",618079.0,4438000.0,0.0055,0.0049,1706,-37400.0,-5.705751,reduction,6.6314110,Q1 2007,INFORMATION TECHNOLOGY,13F,06/30/2021,7.36,6.82
Starrett (l.s.) co.  class a,SCX,"",474941.0,4436000.0,0.0055,0.004,1707,-20182.0,-4.076159,reduction,7.3593827,Q4 2006,INDUSTRIALS,13F,06/30/2021,11.62,7.35
Gaslog partners lp,GLOP,"",1199770.0,4427000.0,0.0055,0.0031,1708,277391.0,30.07343,addition,2.5248841,Q4 2016,ENERGY,13F,06/30/2021,4.2743,3.9
Vista oil & gas sab de cv,VIST,"",1078653.0,4422000.0,0.0055,0.0038,1709,-120969.0,-10.083926,reduction,1.2421832,Q4 2020,ENERGY,13F,06/30/2021,2.56,4.67
Hudson pacific properties inc,HPP,"",157500.0,4382000.0,0.0055,0.0099,1710,-135800.0,-46.300716,reduction,0.1043382,Q1 2014,REAL ESTATE,13F,06/30/2021,24.11,26.64
Aerpio pharmaceuticals inc,ARPO,"",2584347.0,4368000.0,0.0055,0.0031,1711,642809.0,33.108237,addition,5.4554911,Q2 2019,HEALTH CARE,13F,06/30/2021,1.2468,2.23
Harborone bancorp inc,HONE,"",304546.0,4367000.0,0.0055,0.0068,1712,-103722.0,-25.405371,reduction,0.5421364,Q2 2017,FINANCE,13F,06/30/2021,9.39,13.87
Wireless telecom group inc.,WTT,"",1072244.0,4364000.0,0.0054,0.0025,1713,-87330.0,-7.531214,reduction,4.9502690,Q4 2005,INFORMATION TECHNOLOGY,13F,06/30/2021,2.01,2.44
Ishares gold trust,IAU,"",129300.0,4359000.0,0.0054,0.0025,1714,66900.0,107.211538,addition,No Data,Q4 2017,MATERIALS,13F,06/30/2021,17.8422,33.87
Enlink midstream llc,ENLC,"",680734.0,4350000.0,0.0054,0.0077,1715,-754750.0,-52.578085,reduction,0.1389094,Q3 2019,ENERGY,13F,06/30/2021,3.64,5.4
Panacea acquisition corp,NUVB,"",466800.0,4346000.0,0.0054,,1716,466800.0,,new,0.2144727,Q2 2021,FINANCE,13F,06/30/2021,9.31,9.13
Huazhu grp ltd ads adr,HTHT,"",81800.0,4320000.0,0.0054,0.03,1717,-357600.0,-81.383705,reduction,0.0254194,Q3 2020,CONSUMER DISCRETIONARY,13F,06/30/2021,44.23,43.93
Dawson geophysical co,DWSN,"",1654402.0,4318000.0,0.0054,0.0052,1718,-59698.0,-3.482761,reduction,7.0465837,Q2 2008,ENERGY,13F,06/30/2021,16.28,2.03
Petco health and wellness company inc,WOOF,"",192700.0,4318000.0,0.0054,,1719,192700.0,,new,0.0850850,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,22.41,19.64
Hollyfrontier corp,HFC,"",131182.0,4316000.0,0.0054,,1720,131182.0,,new,0.0807557,Q4 2017,ENERGY,13F,06/30/2021,32.9,30.39
Spdr s&p consumer staples etf,XLP,"",61400.0,4296000.0,0.0054,0.0327,1721,-323000.0,-84.027055,reduction,No Data,Q2 2013,CONSUMER STAPLES,13F,06/30/2021,68.31,72.51
Office depot inc,ODP,"",89392.0,4292000.0,0.0054,0.0123,1722,-138300.0,-60.739947,reduction,0.1632796,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2021,39.02,45.91
Comfort systems usa  inc.,FIX,"",54374.0,4284000.0,0.0053,0.009,1723,-42326.0,-43.770424,reduction,0.1498510,Q1 2020,INDUSTRIALS,13F,06/30/2021,43.01,76.28
